Model,Risk Class,Sensitivity,Specificity,Precision,F1-Score
Imaging,LOW,0.010752688172043012,0.6493506493506493,0.01818181818181818,0.013513513513513514
Imaging,MODERATE,0.0,0.8238341968911918,0.0,0.0
Imaging,HIGH,1.0,0.6054421768707483,0.6329113924050633,0.7751937984496124
