C,ROC_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Log_Loss
0.01,0.9956661039288744,0.956,0.9544779779182737,0.9567677781766939,0.9544779779182737,0.9551883297102934,0.2339091176674324
0.03,0.9988476834920889,0.963,0.9618904661550493,0.9640655761658669,0.9618904661550493,0.9625481674289551,0.14379869506813184
0.1,1.0,1.0,1.0,1.0,1.0,1.0,0.0738042459435647
0.3,1.0,1.0,1.0,1.0,1.0,1.0,0.035397416530065
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.014528000216905035
3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.006162810238501294
10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002433629858497218
